messages,intent
Hey AI,Bot Challenge
"Hey, what’s happening?",Greet
What name would you like me to address you by today?,Ask Name
Are you a human being?,Bot Challenge
What are the policies regarding educational assistance for individuals with disabilities?,Negative
"Hi, anyone around to help?",Greet
Can you suggest a course in developmental psychology?,Course Search
Are there any discounts available for students?,Negative
What's the difficulty level of Intermediate Python Programming?,Description
Tell me this course rate,Description
Display the landing page for Financial Management.,Open Landing Page
"Hi, how’s everything going?",Greet
Can you suggest a course in digital art?,Course Search
Show me the landing page for Business Negotiation.,Open Landing Page
Open the page for Innovation and Entrepreneurship.,Open Landing Page
Take me to the page for Business Performance Management.,Open Landing Page
"Hello, need some guidance here",Greet
Are there any policies supporting educational opportunities for students with incarcerated parents?,Negative
"Hi, what's your name for today?",Ask Name
How do I prepare for a marathon?,Negative
Can you describe the difficulty level of Graphic Design Software Basics?,Description
How do I support educational initiatives through nonprofit partnerships?,Negative
Explain your supported functions.,Ask Features
Is this a human or bot?,Bot Challenge
Show me the landing page for Technology Management.,Open Landing Page
What's the price of gold today?,Negative
How do I make a homemade gift?,Negative
Explain your supported actions.,Ask Features
Can you provide information on scholarships for students from low-income backgrounds?,Negative
What are the system requirements for using the platform?,Negative
Show me the landing page for Corporate Governance and Business Ethics.,Open Landing Page
Describe your capabilities.,Ask Features
Detail your available functions.,Ask Features
What's the rating for Financial Management for Entrepreneurs?,Description
Can you provide details on corporate sponsorship for educational programs?,Negative
Can you recommend a course in project management?,Course Search
Are you a human AI assistant?,Bot Challenge
What's the best way to travel around Europe?,Negative
"Hey, are you there?",Greet
"I want to study artificial intelligence, can you suggest a course?",Course Search
"Hello, are you an automated bot?",Bot Challenge
Are you a real virtual assistant?,Bot Challenge
How do I give feedback about a course?,Negative
Access the course syllabus for Managerial Accounting and Financial Management.,Open Landing Page
How do I plan a road trip?,Negative
How do I fix a leaky faucet?,Negative
How do I build a website?,Negative
How do I write a cover letter?,Negative
Access the course syllabus for Management Information Systems.,Open Landing Page
What skills will I learn in the Digital Marketing Strategy course?,Description
Can you suggest any coding bootcamps for information technology courses?,Course Search
What's the difficulty level of the Information Technology Database Administration course?,Description
What are the eligibility criteria for financial aid for courses?,Negative
Could you describe the skills covered in the Computer Science Cybersecurity course?,Description
"Hi, what name do you prefer for this conversation?",Ask Name
"Hey, anyone here?",Greet
Yo,Greet
Show me the details for Strategic Supply Chain Management.,Open Landing Page
Detail your functionalities.,Ask Features
Explain your areas of expertise.,Ask Features
Access the course syllabus for Business Law and Regulation.,Open Landing Page
Can you recommend a course in risk management?,Course Search
Can you recommend a course in automatic control?,Course Search
What's the best way to learn to code?,Negative
find me machine learning course i contain python Multiple Regression skill build model,Course Search
How can I change my email address on the platform?,Negative
What happens if I fail a course?,Negative
Can you recommend a good meditation app?,Negative
Can you recommend a course in mechanical engineering?,Course Search
How can I contribute to educational infrastructure development?,Negative
What are the community guidelines?,Negative
Are you a real person?,Bot Challenge
Show me the details for Business Strategy.,Open Landing Page
How do I leave a review for a course?,Negative
How is the Emotional Intelligence and Leadership Development course rated?,Description
How do I bake a chocolate cake?,Negative
"Hi, are you free?",Greet
Can I get a refund for a course I didn't like?,Negative
Is this an AI?,Bot Challenge
How do I transfer money internationally?,Negative
Open the landing page for Business Analytics and Data Science.,Open Landing Page
Are you a chatbot?,Bot Challenge
Can you provide information on scholarships for students with disabilities?,Negative
What's the best way to clean a carpet?,Negative
Can I access the courses offline?,Negative
Can you tell me about the rating for the Introduction to Philosophy course?,Description
How do I apply for a visa?,Negative
Show me the details for International Business Negotiation.,Open Landing Page
Access the course details for Marketing Management.,Open Landing Page
How do I get to the airport?,Negative
"Hello, anyone available right now?",Greet
Can you provide information on scholarships for vocational courses?,Negative
What's the difficulty level of the Machine Learning course?,Description
How is the C++ Programming for Beginners course rated?,Description
Access the course details for Operations Strategy.,Open Landing Page
Display the course overview for Business Operations Management.,Open Landing Page
"Hey, what's your name?",Ask Name
How do I create a LinkedIn profile?,Negative
Explain what functionalities you provide.,Ask Features
"Hi, need some help with this",Greet
Are there any prerequisites for enrolling in a course?,Negative
Can you recommend a good recipe website?,Negative
What are the regulations regarding course reimbursement from employers?,Negative
How difficult is the Game Development Fundamentals course?,Description
"Hey, how are you today?",Greet
hey bot,Greet
"Hey, what’s happening today?",Greet
How do I access live chat support?,Negative
What is the diffucult level of this course,Description
Access the course details for Managerial Decision Making.,Open Landing Page
Display the landing page for Organizational Leadership.,Open Landing Page
Are you a digital intelligence?,Bot Challenge
Take me to the course overview for Business Law.,Open Landing Page
Navigate to the course page for Algorithms and Data Structures.,Open Landing Page
Are there any courses in special education?,Course Search
"Hello, anyone free?",Greet
Open the page for Business Strategy and Competitive Advantage.,Open Landing Page
What's the difficulty level of the Python for Machine Learning course?,Description
How do I start a podcast?,Negative
How do I create a marketing plan?,Negative
How difficult is the Data Science for Big Data Analytics course?,Description
Can you suggest any online portfolios for web development courses?,Course Search
"Hello, anyone available to help?",Greet
Can I download the course videos?,Negative
Can you share your name with me?,Ask Name
Describe your range of functions.,Ask Features
What skills can I expect to gain from the Agile Project Management Essentials course?,Description
How do I verify my student status for a discount?,Negative
Which skills are emphasized in Financial Accounting Fundamentals?,Description
"Hi, what name are you going by now?",Ask Name
"Hey, need some help?",Greet
How do I apply for a business loan?,Negative
How do I update my billing information?,Negative
How do I open a bank account?,Negative
Search for courses in game theory.,Course Search
"Hi, what's the name you want to go by today?",Ask Name
Explain your abilities.,Ask Features
Can you recommend a good online forum for parents?,Negative
Can you provide details about the difficulty level of the Math and Logic Problem-Solving Strategies course?,Description
"Hello, anyone here?",Greet
What can you support?,Ask Features
Are you a real intelligent assistant?,Bot Challenge
How do I find my family history?,Negative
"hey bot, let talk",Greet
Can you help me with my homework?,Negative
"I want to study artificial intelligence, can you suggest a course?",Course Search
What should I do if a course is not loading properly?,Negative
What name should I use to address you for this conversation?,Ask Name
"Hello, anyone available to talk?",Greet
I want to book a flight ticket.,Negative
How do I change the oil in my car?,Negative
How is the Leadership and Team Management course rated?,Description
Hey there,Greet
"Hi, got a second?",Greet
"Hello, what name are you using today?",Ask Name
"Hi, are you a computer program?",Bot Challenge
"Hello, can I ask you something?",Greet
Can you recommend a course in electrical engineering?,Course Search
Are you human or bot?,Bot Challenge
Open the page for Business Leadership and Team Building.,Open Landing Page
Explain your range of assistance.,Ask Features
Access the course details for Business Information Technology.,Open Landing Page
Which skills are included in the Python Programming for Beginners course?,Description
Ey bot,Greet
How do I get rid of garden pests?,Negative
What's the rating for the Deep Learning Essentials course?,Description
Can you provide information on scholarships for specific fields of study?,Negative
How difficult is the Data Science for Financial Analysis course?,Description
Are you an AI chatbot?,Bot Challenge
"Hi, anyone available to chat?",Greet
Pleasure to meet you,Greet
Can you recommend a course in electrical engineering?,Course Search
"Hello, may I have your name?",Ask Name
Can you tell me about the history of World War II?,Negative
find course dificult level is beginners,Course Search
How do I start a YouTube channel?,Negative
"Hi, anyone available to chat?",Greet
How do I organize my closet?,Negative
Detail the services you offer.,Ask Features
What skills will I learn in the Digital Marketing Strategy course?,Description
Explain your range of services.,Ask Features
I need to buy car insurance.,Negative
Can you recommend a course in operations management?,Course Search
Can you recommend resources for understanding educational funding models?,Negative
What's the best way to clean windows?,Negative
What's the best way to learn to knit?,Negative
"Hi, are you a real chatbot?",Bot Challenge
"Hi, need to discuss something",Greet
"Hey, how’s it going?",Greet
Salutations,Greet
What's the movie schedule for tonight?,Negative
Can you tell me about the skills covered in the Chinese Language Basics course?,Description
"I'm interested in data science, any suggestions for me?",Course Search
"Hello, are you free?",Greet
What initiatives are in place to address the digital divide in education?,Negative
How do I install a new operating system on my computer?,Negative
What accessibility features are available?,Negative
Can you detail your supported tasks?,Ask Features
"Hello, need some assistance here",Greet
"Hello, who’s there?",Greet
