messages,intent
Can you speak to me?,Whisper on
Enable voice responses.,Whisper on
Turn on voice replies.,Whisper on
Can you reply with your voice?,Whisper on
Activate audio responses.,Whisper on
Use voice to answer me.,Whisper on
I want to hear your voice.,Whisper on
Start voice responses.,Whisper on
Talk to me using your voice.,Whisper on
Turn off text replies and use voice.,Whisper on
Can you respond by speaking?,Whisper on
Switch to voice mode.,Whisper on
Use audio for responses.,Whisper on
Can you answer with sound?,Whisper on
Turn on audio replies.,Whisper on
Enable speaking mode.,Whisper on
I prefer voice replies.,Whisper on
Respond to me by talking.,Whisper on
Activate your voice for replies.,Whisper on
Talk back to me.,Whisper on
Turn on verbal responses.,Whisper on
Can you reply with audio?,Whisper on
Use your voice to talk to me.,Whisper on
Switch on voice responses.,Whisper on
I want you to speak to me.,Whisper on
Turn off silent mode and talk.,Whisper on
Enable your voice for answers.,Whisper on
Can you talk to me using audio?,Whisper on
Use voice instead of text.,Whisper on
Can you speak your replies?,Whisper on
Switch to speaking mode.,Whisper on
Answer me with your voice.,Whisper on
Turn on your voice for replies.,Whisper on
Enable verbal mode.,Whisper on
Can you give audio responses?,Whisper on
Use voice replies for me.,Whisper on
I want to hear your replies.,Whisper on
Activate voice replies.,Whisper on
Can you talk back to me?,Whisper on
Turn off text and talk.,Whisper on
Enable audio answers.,Whisper on
Use sound for responses.,Whisper on
Can you use your voice to reply?,Whisper on
Talk to me with audio.,Whisper on
Switch on audio mode.,Whisper on
Turn on speaking responses.,Whisper on
I prefer audio answers.,Whisper on
Enable your voice responses.,Whisper on
Can you answer using voice?,Whisper on
Use your voice to reply to me.,Whisper on
Can you talk out loud?,Whisper on
Enable sound replies.,Whisper on
Turn on verbal answers.,Whisper on
Can you answer with your voice?,Whisper on
Activate vocal responses.,Whisper on
Use your voice for answers.,Whisper on
I want verbal replies.,Whisper on
Start talking responses.,Whisper on
Speak to me with your voice.,Whisper on
Turn off text and use voice.,Whisper on
Can you respond with your voice?,Whisper on
Switch to audio answers.,Whisper on
Use your voice for responses.,Whisper on
Can you talk back with sound?,Whisper on
Turn on vocal replies.,Whisper on
Enable audio mode.,Whisper on
I prefer spoken replies.,Whisper on
Respond with your voice.,Whisper on
Activate your sound responses.,Whisper on
Talk to me using sound.,Whisper on
Turn on spoken responses.,Whisper on
Can you reply using audio?,Whisper on
Use your voice to answer me.,Whisper on
Switch on sound responses.,Whisper on
I want you to talk to me.,Whisper on
Turn off silent mode and speak.,Whisper on
Enable vocal answers.,Whisper on
Can you use audio to talk to me?,Whisper on
Use speaking instead of text.,Whisper on
Can you speak your answers?,Whisper on
Switch to audio mode.,Whisper on
Answer me with spoken words.,Whisper on
Turn on your vocal responses.,Whisper on
Enable sound mode.,Whisper on
Can you give spoken responses?,Whisper on
Use voice answers for me.,Whisper on
I want to hear your voice replies.,Whisper on
Activate sound answers.,Whisper on
Can you talk using your voice?,Whisper on
Turn off text and speak to me.,Whisper on
Enable audio responses.,Whisper on
Use sound for replies.,Whisper on
Can you use voice to respond?,Whisper on
Talk to me with your voice.,Whisper on
Switch on vocal mode.,Whisper on
Turn on speaking answers.,Whisper on
I prefer sound answers.,Whisper on
